"","sample_id","Station","Latitude","Longitude","Depth m","CTD cast (to be checked)","depth_numeric","Cast","Cycle","Pressure [db]","Temp1 [°C]","Salinity1[PSS-78]","Oxygen1 [mmol/kg]","Fluorescence1 [milligrams/m^3]","Fluor average [mg m^-3]","easy_long","updated_cycle","bloom_state","water_mode","number_long","total_contigs","total_basepairs","max_contig","med_contig","avg_contig","bottom_percentile","top_percentil","n_virus","n_circular","sample","average_gc","per_read_gc","gc_var","mean_read_length","total_reads","total_bp","direction"
"57","NZ_9",189,-44.5438333333333,179.537666666667,"50",9137,50,1,"2",50.0395625,9.87513125,34.3658189282004,270.588395833333,1.18907916666667,0.9913465625,179.537666666667,"2","Salp","Subantarctic",293,188378,133442254,82495,482,708.374937625413,371,724,4222,3,"NZ9_S200_L003_R1_001",40.3073146794682,40.0297624306098,0.00825278662362755,81.7536288493164,61750704,5048344136,"F"
"58","NZ_9",189,-44.5438333333333,179.537666666667,"50",9137,50,1,"2",50.0395625,9.87513125,34.3658189282004,270.588395833333,1.18907916666667,0.9913465625,179.537666666667,"2","Salp","Subantarctic",293,188378,133442254,82495,482,708.374937625413,371,724,4222,3,"NZ9_S200_L003_R2_001",40.0251259524871,39.8013488298584,0.00851635622812235,82.0873252716277,61750704,5068950125,"R"
"59","NZ_9",189,-44.5438333333333,179.537666666667,"50",9137,50,1,"2",50.1817916666667,9.88702916666666,34.3658154210489,271.068295454545,1.14789375,0.995398958333333,179.537666666667,"2","Salp","Subantarctic",293,188378,133442254,82495,482,708.374937625413,371,724,4222,3,"NZ9_S200_L003_R1_001",40.3073146794682,40.0297624306098,0.00825278662362755,81.7536288493164,61750704,5048344136,"F"
"60","NZ_9",189,-44.5438333333333,179.537666666667,"50",9137,50,1,"2",50.1817916666667,9.88702916666666,34.3658154210489,271.068295454545,1.14789375,0.995398958333333,179.537666666667,"2","Salp","Subantarctic",293,188378,133442254,82495,482,708.374937625413,371,724,4222,3,"NZ9_S200_L003_R2_001",40.0251259524871,39.8013488298584,0.00851635622812235,82.0873252716277,61750704,5068950125,"R"
"61","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",70.8294081632653,9.08223469387755,34.3703929456849,272.592155555556,0.853574897959184,0.706390510204082,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R1_001",41.1810841044905,40.8762349210834,0.00913353252014402,81.2835743754556,50779299,4127522927,"F"
"62","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",70.8294081632653,9.08223469387755,34.3703929456849,272.592155555556,0.853574897959184,0.706390510204082,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R2_001",41.0317191064852,40.7550230453928,0.00930994432308125,81.3086301959387,50779299,4128795244,"R"
"63","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.2946458333333,9.11985625,34.3690761945756,271.305923076923,0.925704791666667,0.736951354166667,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R1_001",41.1810841044905,40.8762349210834,0.00913353252014402,81.2835743754556,50779299,4127522927,"F"
"64","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.2946458333333,9.11985625,34.3690761945756,271.305923076923,0.925704791666667,0.736951354166667,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R2_001",41.0317191064852,40.7550230453928,0.00930994432308125,81.3086301959387,50779299,4128795244,"R"
"65","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.8135,9.1233375,34.3708148842663,271.726783783784,0.891440416666667,0.735492708333333,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R1_001",41.1810841044905,40.8762349210834,0.00913353252014402,81.2835743754556,50779299,4127522927,"F"
"66","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.8135,9.1233375,34.3708148842663,271.726783783784,0.891440416666667,0.735492708333333,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R2_001",41.0317191064852,40.7550230453928,0.00930994432308125,81.3086301959387,50779299,4128795244,"R"
